epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1197.96,0.24811,0.13564,0.73865,0.63565,0.34163,0.41919,0.39549,0.20543,0.09486,0.78516,0.001387,0.001387,0.001387
89,1211.52,0.24597,0.1356,0.73807,0.63566,0.34163,0.41923,0.39451,0.20959,0.09207,0.78507,0.001288,0.001288,0.001288
90,1225.2,0.24239,0.13271,0.73864,0.63565,0.34162,0.41921,0.39469,0.2105,0.09571,0.78495,0.001189,0.001189,0.001189
91,1239.15,0.21109,0.12938,0.73971,0.63565,0.34164,0.41919,0.39488,0.20722,0.0949,0.78473,0.00109,0.00109,0.00109
92,1252.73,0.20046,0.12332,0.7395,0.63565,0.34172,0.41924,0.39453,0.20911,0.09742,0.78462,0.000991,0.000991,0.000991
93,1266.27,0.19743,0.12028,0.73934,0.63565,0.34164,0.41923,0.39403,0.20769,0.0971,0.78446,0.000892,0.000892,0.000892
94,1279.73,0.19266,0.11831,0.73816,0.63565,0.34164,0.41919,0.3946,0.21341,0.10291,0.78432,0.000793,0.000793,0.000793
95,1293.32,0.18842,0.11548,0.73871,0.63565,0.34171,0.41919,0.39492,0.20557,0.09546,0.78424,0.000694,0.000694,0.000694
96,1306.84,0.18365,0.11326,0.73826,0.63565,0.34169,0.41919,0.39556,0.20802,0.09608,0.78409,0.000595,0.000595,0.000595
97,1320.49,0.18277,0.11172,0.73788,0.63565,0.34169,0.41919,0.3951,0.20543,0.09446,0.78396,0.000496,0.000496,0.000496
98,1334.04,0.17784,0.10841,0.73733,0.63565,0.34168,0.41917,0.39544,0.21334,0.10167,0.78381,0.000397,0.000397,0.000397
99,1347.66,0.17505,0.10687,0.73791,0.63565,0.34167,0.41925,0.39516,0.21048,0.09831,0.78371,0.000298,0.000298,0.000298
100,1361.2,0.17154,0.10399,0.73841,0.63565,0.34167,0.41926,0.39533,0.20541,0.09324,0.78354,0.000199,0.000199,0.000199
